hash,msg,is_bugfix,n_files
f4c581158d489aba88f3cbb2c61dd44949ea0038,"Renamed CMSRequest to DjangoRequest, and CMSContext to DjangoContext. Old code will still work.

git-svn-id: http://code.djangoproject.com/svn/django/trunk@57 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,15
7b47dcd7734fc8d3d4c96bc15f21833716ca82eb,"Changed faq to add 'What does Django mean'

git-svn-id: http://code.djangoproject.com/svn/django/trunk@58 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
dc2933f73b4a970d6b37241b6f185bbbacd1bb69,"Fixed #3 -- Made OneToOneField act like ForeignKey and ManyToManyField. This is the last big API change before the official launch.

git-svn-id: http://code.djangoproject.com/svn/django/trunk@59 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,2
c8cae5bed9cb719a5825e3e0d5523429aa967476,"Removed gunk from legacy django.bin.setup, although distutils installation isn't done yet

git-svn-id: http://code.djangoproject.com/svn/django/trunk@60 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
b1ccec3d3de026d8c9e63e73cd737947f8c80485,"Fixed typo in FAQ -- Thanks, nathancolgate

git-svn-id: http://code.djangoproject.com/svn/django/trunk@61 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
1380de538aa3806d4cb76195b273b98ccd1ab3ac,"Changed name on LICENSE to be lawyerriffic

git-svn-id: http://code.djangoproject.com/svn/django/trunk@62 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
64c0ae520451df075d40e4c38511237a2db01eae,"Linked-up Apache, Python and PostgreSQL in the FAQ

git-svn-id: http://code.djangoproject.com/svn/django/trunk@63 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
8acc6048e8fe17e1ba7e9df30aace2ef84d68276,"Removed the vestigal get_choices_from from ManyToMany relations.


git-svn-id: http://code.djangoproject.com/svn/django/trunk@64 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
775f433988445fe5caa622593f58be14506e3143,"Moved django.bin.setup to root level and converted it to use setuptools. Still not ready for prime time, though

git-svn-id: http://code.djangoproject.com/svn/django/trunk@65 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,2
05c5dabb8f6a42e37cb2e78c3ac00e787d29eea4,"Added ez_setup.py -- companion to [65]

git-svn-id: http://code.djangoproject.com/svn/django/trunk@66 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
604cd7fe14026da97f73fdb47dc48429b001290a,"Yes yes yes -- more documentation improvements

git-svn-id: http://code.djangoproject.com/svn/django/trunk@67 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,3
41c99f35dba0a12c6bbb49ddcaa5fabf90ca6a0f,"Changed setup.py author and added django-admin to distutils 'scripts'

git-svn-id: http://code.djangoproject.com/svn/django/trunk@68 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,2
c1c308468e5a35b1dc0b136b47b44b16b643652e,"Fixed small error in overview doc

git-svn-id: http://code.djangoproject.com/svn/django/trunk@69 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
4c4f1354185f50317984ae309a34daeba7aef823,"Added URL config documentation

git-svn-id: http://code.djangoproject.com/svn/django/trunk@70 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
0d2b5e33cd7ca3a3f806321aa5d5893901d49352,"Added docs/install.txt

git-svn-id: http://code.djangoproject.com/svn/django/trunk@71 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
8d1623e68bfbc19e18247ef0a4efef9446fcb761,"Fixed a few small errors in the install doc

git-svn-id: http://code.djangoproject.com/svn/django/trunk@72 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
6b68559c9a85ebdad896f54986beda90f02ed5d2,"Clarified template documentation


git-svn-id: http://code.djangoproject.com/svn/django/trunk@73 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
7fcae93850491dece803eebebc531a0d6654c377,"Fixed small indentation error in [73]

git-svn-id: http://code.djangoproject.com/svn/django/trunk@74 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
246402a2339175daf83057a3d6c97c03e44004ef,"Added Apache and DB instructions to doc/install.txt

git-svn-id: http://code.djangoproject.com/svn/django/trunk@75 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
835240cf04b0c00eb02e026a9d39d3cd8ff0b4be,"Added some spacing to doc/install.txt

git-svn-id: http://code.djangoproject.com/svn/django/trunk@76 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
158b54380e1b320023970b0f324ccc1a5c62aa5a,"Added a small clarification to doc/install.txt

git-svn-id: http://code.djangoproject.com/svn/django/trunk@77 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
7aed83c85437f26c62175c99a30a2bf56992f505,"Fixed typo in install.txt

git-svn-id: http://code.djangoproject.com/svn/django/trunk@78 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
d75fde94a736a4df6a068289d2204c4cd0497613,"Changed django-admin startproject so that it doesn't copy .pyc files

git-svn-id: http://code.djangoproject.com/svn/django/trunk@79 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
8718675469fd3dce5213be65346c56c24fa3e701,"Changed DEBUG to be True by default in new projects

git-svn-id: http://code.djangoproject.com/svn/django/trunk@80 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
